,id,imdbid,title,rating,year
0,9602,3155794,Passage de Venus,0,1874
1,9804,14495706,La Rosace Magique,0,1877
2,9603,2221420,Sallie Gardner at a Gallop,0,1878
3,9806,12592084,Le singe musicien,0,1878
4,9816,7816420,Athlete Swinging a Pick,0,1881
5,9831,5459794,Buffalo Running,0,1883
6,9832,8588366,L&#39;homme machine,0,1885
7,9614,2075247,Man Walking Around the Corner,0,1887
8,9836,8133192,Cockatoo Flying,0,1887
9,9837,7411790,Child Carrying Flowers to Woman,0,1887
10,9838,7541160,Jumping Over a Man&#39;s Back-Leapfrog,0,1887
11,9841,7754902,Man Riding Jumping Horse,0,1887
12,9902,8361552,Baboon Climbing a Pole,0,1887
13,8040,0392728,Roundhay Garden Scene,0,1888
14,9615,1758563,Accordion Player,0,1888
15,9616,0343112,Traffic Crossing Leeds Bridge,0,1888
16,9675,3274100,Pferd und Reiter Springen uber ein Hindernis,0,1888
17,9947,2116853,Brighton Street Scene,0,1888
18,9619,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0,1889
19,9945,2116898,Hyde Park Corner,0,1889
20,9617,0361921,"Monkeyshines, No. 1",0,1890
21,9618,0416046,"Monkeyshines, No. 2",0,1890
22,9621,1202028,London&#39;s Trafalgar Square,0,1890
23,9678,0416047,"Monkeyshines, No. 3",0,1890
24,9946,5285442,Mosquinha,0,1890
25,9944,2116968,"Traffic in King&#39;s Road, Chelsea",0,1890
26,9626,0241373,Dickson Greeting,0,1891
27,9628,0241715,Men Boxing,0,1891
28,9629,0241763,Newark Athlete,0,1891
29,9792,0241393,"Duncan and Another, Blacksmith Shop",0,1891
30,9793,0241392,Duncan Smoking,0,1891
31,9794,0241394,Duncan or Devonald with Muslin Cloud,0,1891
32,9795,0241735,"Monkey and Another, Boxing",0,1891
33,9800,3201916,Je vous aime,0,1891
34,9802,3508566,La vague,0,1891
35,9943,5447082,Two Fencers,0,1891
36,5433,0000003,Pauvre Pierrot,0,1892
37,9631,0000004,Un bon bock,0,1892
38,9632,0000002,Le clown et ses chiens,0,1892
39,9951,0241446,Fencing,0,1892
40,9952,0234520,Le prince de Galles,0,1892
41,9948,0242148,Wrestling,0,1892
42,9986,0241266,Boxing,0,1892
43,9583,0000005,Blacksmith Scene,0,1893
44,9636,0229217,Annabelle Butterfly Dance,0,1894
45,9642,8419312,Edison Kinetoscope Records: Annie Oakley,0,1894
46,9646,0000015,Autour d&#39;une cabine,0,1894
47,9648,0229235,"Barbershop, The",0,1894
48,9649,0309396,Bucking Broncho,0,1894
49,9650,0309402,Buffalo Dance,0,1894
50,9652,0000008,Edison Kinetoscopic Record of a Sneeze,0,1894
51,9654,0177707,Dickson Experimental Sound Film,0,1894
52,9655,0000006,Chinese Opium Den,0,1894
53,9656,0000007,Corbett and Courtney Before the Kinetograph,0,1894
54,9662,2049440,Falling Cat,0,1894
55,9663,0312728,"Glenroy Bros., No. 2",0,1894
56,9664,0256782,Glenroy Brothers,0,1894
57,9668,0203646,Leonard-Cushing Fight,0,1894
58,9671,0277115,"Luis Martinetti, Contortionist",0,1894
59,9673,2161519,Sandow No. 2,0,1894
60,9674,2161521,Sandow No. 3,0,1894
61,9681,0413219,Reve au coin du feu,0,1894
62,9779,0000009,Miss Jerry,0,1894
63,5444,0000014,Tables Turned on the Gardener,0,1895
64,6200,0132134,"Execution of Mary, Queen of Scots, The",0,1895
65,9679,0000011,Akrobatisches Potpourri,1,1895
66,9683,0154152,Annabelle Serpentine Dance,0,1895
67,9714,0000017,Italienischer Bauerntanz,0,1895
68,9715,0000029,Baby&#39;s Dinner,1,1895
69,9766,0477266,Billy Edwards and the Unknown,0,1895
70,9767,0000022,Blacksmith Scene,0,1895
71,9787,0000016,Barque sortant du port,0,1895
72,4982,0000091,"House of the Devil, The",0,1896
73,5406,0000131,Une nuit terrible,0,1896
74,5445,0223341,La fee aux choux,0,1896
75,6199,0000012,"Arrival of a Train, The",0,1896
76,9672,1428455,Sandow,0,1896
77,9949,1672718,Alger: rue Bab-Azoun,0,1896
78,9950,1736599,Lassage des boeufs pour le labour,0,1896
79,9901,0222137,Lancement d&#39;un navire,0,1896
80,9328,0000041,Bataille de neige,0,1897
81,4978,0135696,Four Heads Are Better Than One,0,1898
82,5410,0000211,"Astronomer&#39;s Dream; or, The Man in the Moon, The",0,1898
83,5411,0224240,"Temptation of St. Anthony, The",0,1898
84,4994,0000246,A Turn of the Century Illusionist,0,1899
85,5914,0000230,Cinderella,3,1899
86,1594,0291476,Sherlock Holmes Baffled,0,1900
87,4271,0000300,"Enchanted Drawing, The",0,1900
88,4343,0000304,Grandma&#39;s Reading Glass,0,1900
89,4344,0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0,1900
90,4345,0257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0,1900
91,4346,0000306,Hamlet ( Le Duel d&#39;Hamlet),0,1900
92,4993,0135453,"One-Man Band, The",0,1900
93,5069,0377995,Grandma Threading Her Needle,0,1900
94,5072,0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0,1900
95,5438,0000313,Let Me Dream Again,0,1900
96,5446,0227438,"Doctor and the Monkey, The",0,1900
97,4995,0000359,L&#39;homme a la tete en caoutchouc,0,1901
98,5437,0258104,Reve et realite,0,1901
99,5500,0131934,Bluebeard,0,1901
100,1252,0000417,Le voyage dans la lune,0,1902
101,5431,0229024,Gulliver&#39;s Travels,0,1902
102,5432,0367177,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0,1902
103,5443,0000413,Mephistopheles&#39; School of Magic,0,1902
104,1319,0000439,"Great Train Robbery, The",0,1903
105,5002,0135180,"Infernal Boiling Pot, The",0,1903
